      Teff [K]     log(g)      File Name
      3200.00      3.50000    3200_3.5.txt
      3200.00      4.00000    3200_4.0.txt
      3200.00      4.50000    3200_4.5.txt
      3200.00      5.00000    3200_5.0.txt
      3200.00      5.50000    3200_5.5.txt
      3300.00      3.50000    3300_3.5.txt
      3300.00      4.00000    3300_4.0.txt
      3300.00      4.50000    3300_4.5.txt
      3300.00      5.00000    3300_5.0.txt
      3300.00      5.50000    3300_5.5.txt
      3400.00      3.50000    3400_3.5.txt
      3400.00      4.00000    3400_4.0.txt
      3400.00      4.50000    3400_4.5.txt
      3400.00      5.00000    3400_5.0.txt
      3400.00      5.50000    3400_5.5.txt
      3500.00      3.50000    3500_3.5.txt
      3500.00      4.00000    3500_4.0.txt
      3500.00      4.50000    3500_4.5.txt
      3500.00      5.00000    3500_5.0.txt
      3500.00      5.50000    3500_5.5.txt
      3600.00      3.50000    3600_3.5.txt
      3600.00      4.00000    3600_4.0.txt
      3600.00      4.50000    3600_4.5.txt
      3600.00      5.00000    3600_5.0.txt
      3600.00      5.50000    3600_5.5.txt
      3700.00      3.50000    3700_3.5.txt
      3700.00      4.00000    3700_4.0.txt
      3700.00      4.50000    3700_4.5.txt
      3700.00      5.00000    3700_5.0.txt
      3700.00      5.50000    3700_5.5.txt
      3800.00      3.50000    3800_3.5.txt
      3800.00      4.00000    3800_4.0.txt
      3800.00      4.50000    3800_4.5.txt
      3800.00      5.00000    3800_5.0.txt
      3800.00      5.50000    3800_5.5.txt
      3900.00      3.50000    3900_3.5.txt
      3900.00      4.00000    3900_4.0.txt
      3900.00      4.50000    3900_4.5.txt
      3900.00      5.00000    3900_5.0.txt
      3900.00      5.50000    3900_5.5.txt
      4000.00      3.50000    4000_3.5.txt
      4000.00      4.00000    4000_4.0.txt
      4000.00      4.50000    4000_4.5.txt
      4000.00      5.00000    4000_5.0.txt
      4000.00      5.50000    4000_5.5.txt
      4200.00      3.50000    4200_3.5.txt
      4200.00      4.00000    4200_4.0.txt
      4200.00      4.50000    4200_4.5.txt
      4200.00      5.00000    4200_5.0.txt
      4200.00      5.50000    4200_5.5.txt
      4400.00      3.50000    4400_3.5.txt
      4400.00      4.00000    4400_4.0.txt
      4400.00      4.50000    4400_4.5.txt
      4400.00      5.00000    4400_5.0.txt
      4400.00      5.50000    4400_5.5.txt
      4600.00      3.50000    4600_3.5.txt
      4600.00      4.00000    4600_4.0.txt
      4600.00      4.50000    4600_4.5.txt
      4600.00      5.00000    4600_5.0.txt
      4600.00      5.50000    4600_5.5.txt
      4800.00      3.50000    4800_3.5.txt
      4800.00      4.00000    4800_4.0.txt
      4800.00      4.50000    4800_4.5.txt
      4800.00      5.00000    4800_5.0.txt
      4800.00      5.50000    4800_5.5.txt
      5000.00      3.50000    5000_3.5.txt
      5000.00      4.00000    5000_4.0.txt
      5000.00      4.50000    5000_4.5.txt
      5000.00      5.00000    5000_5.0.txt
      5000.00      5.50000    5000_5.5.txt
      5200.00      3.50000    5200_3.5.txt
      5200.00      4.00000    5200_4.0.txt
      5200.00      4.50000    5200_4.5.txt
      5200.00      5.00000    5200_5.0.txt
      5200.00      5.50000    5200_5.5.txt
      5400.00      3.50000    5400_3.5.txt
      5400.00      4.00000    5400_4.0.txt
      5400.00      4.50000    5400_4.5.txt
      5400.00      5.00000    5400_5.0.txt
      5400.00      5.50000    5400_5.5.txt
      5600.00      3.50000    5600_3.5.txt
      5600.00      4.00000    5600_4.0.txt
      5600.00      4.50000    5600_4.5.txt
      5600.00      5.00000    5600_5.0.txt
      5600.00      5.50000    5600_5.5.txt
      5800.00      3.50000    5800_3.5.txt
      5800.00      4.00000    5800_4.0.txt
      5800.00      4.50000    5800_4.5.txt
      5800.00      5.00000    5800_5.0.txt
      5800.00      5.50000    5800_5.5.txt
      6000.00      3.50000    6000_3.5.txt
      6000.00      4.00000    6000_4.0.txt
      6000.00      4.50000    6000_4.5.txt
      6000.00      5.00000    6000_5.0.txt
      6000.00      5.50000    6000_5.5.txt
      6200.00      3.50000    6200_3.5.txt
      6200.00      4.00000    6200_4.0.txt
      6200.00      4.50000    6200_4.5.txt
      6200.00      5.00000    6200_5.0.txt
      6200.00      5.50000    6200_5.5.txt
      6400.00      3.50000    6400_3.5.txt
      6400.00      4.00000    6400_4.0.txt
      6400.00      4.50000    6400_4.5.txt
      6400.00      5.00000    6400_5.0.txt
      6400.00      5.50000    6400_5.5.txt
      6600.00      3.50000    6600_3.5.txt
      6600.00      4.00000    6600_4.0.txt
      6600.00      4.50000    6600_4.5.txt
      6600.00      5.00000    6600_5.0.txt
      6600.00      5.50000    6600_5.5.txt
      6800.00      3.50000    6800_3.5.txt
      6800.00      4.00000    6800_4.0.txt
      6800.00      4.50000    6800_4.5.txt
      6800.00      5.00000    6800_5.0.txt
      6800.00      5.50000    6800_5.5.txt
      7000.00      3.50000    7000_3.5.txt
      7000.00      4.00000    7000_4.0.txt
      7000.00      4.50000    7000_4.5.txt
      7000.00      5.00000    7000_5.0.txt
      7000.00      5.50000    7000_5.5.txt
      7200.00      3.50000    7200_3.5.txt
      7200.00      4.00000    7200_4.0.txt
      7200.00      4.50000    7200_4.5.txt
      7200.00      5.00000    7200_5.0.txt
      7200.00      5.50000    7200_5.5.txt
      7400.00      3.50000    7400_3.5.txt
      7400.00      4.00000    7400_4.0.txt
      7400.00      4.50000    7400_4.5.txt
      7400.00      5.00000    7400_5.0.txt
      7400.00      5.50000    7400_5.5.txt
      7600.00      3.50000    7600_3.5.txt
      7600.00      4.00000    7600_4.0.txt
      7600.00      4.50000    7600_4.5.txt
      7600.00      5.00000    7600_5.0.txt
      7600.00      5.50000    7600_5.5.txt
      7800.00      3.50000    7800_3.5.txt
      7800.00      4.00000    7800_4.0.txt
      7800.00      4.50000    7800_4.5.txt
      7800.00      5.00000    7800_5.0.txt
      7800.00      5.50000    7800_5.5.txt
      8000.00      3.50000    8000_3.5.txt
      8000.00      4.00000    8000_4.0.txt
      8000.00      4.50000    8000_4.5.txt
      8000.00      5.00000    8000_5.0.txt
      8000.00      5.50000    8000_5.5.txt
      8200.00      3.50000    8200_3.5.txt
      8200.00      4.00000    8200_4.0.txt
      8200.00      4.50000    8200_4.5.txt
      8200.00      5.00000    8200_5.0.txt
      8200.00      5.50000    8200_5.5.txt
      8400.00      3.50000    8400_3.5.txt
      8400.00      4.00000    8400_4.0.txt
      8400.00      4.50000    8400_4.5.txt
      8400.00      5.00000    8400_5.0.txt
      8400.00      5.50000    8400_5.5.txt
      8600.00      3.50000    8600_3.5.txt
      8600.00      4.00000    8600_4.0.txt
      8600.00      4.50000    8600_4.5.txt
      8600.00      5.00000    8600_5.0.txt
      8600.00      5.50000    8600_5.5.txt
      8800.00      3.50000    8800_3.5.txt
      8800.00      4.00000    8800_4.0.txt
      8800.00      4.50000    8800_4.5.txt
      8800.00      5.00000    8800_5.0.txt
      8800.00      5.50000    8800_5.5.txt
      9000.00      3.50000    9000_3.5.txt
      9000.00      4.00000    9000_4.0.txt
      9000.00      4.50000    9000_4.5.txt
      9000.00      5.00000    9000_5.0.txt
      9000.00      5.50000    9000_5.5.txt
      9200.00      3.50000    9200_3.5.txt
      9200.00      4.00000    9200_4.0.txt
      9200.00      4.50000    9200_4.5.txt
      9200.00      5.00000    9200_5.0.txt
      9200.00      5.50000    9200_5.5.txt
      9400.00      3.50000    9400_3.5.txt
      9400.00      4.00000    9400_4.0.txt
      9400.00      4.50000    9400_4.5.txt
      9400.00      5.00000    9400_5.0.txt
      9400.00      5.50000    9400_5.5.txt
      9600.00      3.50000    9600_3.5.txt
      9600.00      4.00000    9600_4.0.txt
      9600.00      4.50000    9600_4.5.txt
      9600.00      5.00000    9600_5.0.txt
      9600.00      5.50000    9600_5.5.txt
      9800.00      3.50000    9800_3.5.txt
      9800.00      4.00000    9800_4.0.txt
      9800.00      4.50000    9800_4.5.txt
      9800.00      5.00000    9800_5.0.txt
      9800.00      5.50000    9800_5.5.txt
      10000.0      3.50000    10000_3.5.txt
      10000.0      4.00000    10000_4.0.txt
      10000.0      4.50000    10000_4.5.txt
      10000.0      5.00000    10000_5.0.txt
      10000.0      5.50000    10000_5.5.txt
